STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00448829,"WALKERTON 2 NW, VA US",5/16/1980,0,76,46
USC00442208,"DALE ENTERPRISE, VA US",5/16/1980,0,72,39
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/16/1980,0,69,38
USC00447338,"ROCKY MOUNT, VA US",5/16/1980,0,72,47
USC00445213,"MANASSAS, VA US",5/16/1980,0,75,42
USC00444044,"HOLLAND 1 E, VA US",5/16/1980,0,73,45
USC00448829,"WALKERTON 2 NW, VA US",5/17/1980,0,75,44
USC00442208,"DALE ENTERPRISE, VA US",5/17/1980,0,68,49
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/17/1980,0,71,45
USC00447338,"ROCKY MOUNT, VA US",5/17/1980,0,72,49
USC00445213,"MANASSAS, VA US",5/17/1980,0.82,73,48
USC00444044,"HOLLAND 1 E, VA US",5/17/1980,0,73,42
USC00448829,"WALKERTON 2 NW, VA US",5/18/1980,0.27,80,59
USC00442208,"DALE ENTERPRISE, VA US",5/18/1980,0.7,78,50
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/18/1980,0.71,67,45
USC00447338,"ROCKY MOUNT, VA US",5/18/1980,1.27,66,52
USC00445213,"MANASSAS, VA US",5/18/1980,0.38,85,52
USC00444044,"HOLLAND 1 E, VA US",5/18/1980,0.79,77,60
USC00448829,"WALKERTON 2 NW, VA US",5/19/1980,0.13,86,60
USC00442208,"DALE ENTERPRISE, VA US",5/19/1980,0.18,78,56
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/19/1980,0,78,55
USC00447338,"ROCKY MOUNT, VA US",5/19/1980,0,80,56
USC00445213,"MANASSAS, VA US",5/19/1980,0,83,63
USC00444044,"HOLLAND 1 E, VA US",5/19/1980,0,81,65
USC00448829,"WALKERTON 2 NW, VA US",5/20/1980,1.25,76,64
USC00442208,"DALE ENTERPRISE, VA US",5/20/1980,0.26,69,61
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/20/1980,0.18,78,54
USC00447338,"ROCKY MOUNT, VA US",5/20/1980,0.28,80,58
USC00445213,"MANASSAS, VA US",5/20/1980,0.1,69,49
USC00444044,"HOLLAND 1 E, VA US",5/20/1980,0.94,88,66
USC00448829,"WALKERTON 2 NW, VA US",5/21/1980,0.92,68,62
USC00442208,"DALE ENTERPRISE, VA US",5/21/1980,0.52,70,58
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/21/1980,1.57,65,58
USC00447338,"ROCKY MOUNT, VA US",5/21/1980,1.1,69,57
USC00445213,"MANASSAS, VA US",5/21/1980,0.38,70,59
USC00444044,"HOLLAND 1 E, VA US",5/21/1980,0.5,85,64
USC00448829,"WALKERTON 2 NW, VA US",5/22/1980,0.03,81,52
USC00442208,"DALE ENTERPRISE, VA US",5/22/1980,0,79,50
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/22/1980,0.02,71,48
USC00447338,"ROCKY MOUNT, VA US",5/22/1980,0,80,52
USC00445213,"MANASSAS, VA US",5/22/1980,0,85,53
USC00444044,"HOLLAND 1 E, VA US",5/22/1980,0,77,55
USC00448829,"WALKERTON 2 NW, VA US",5/23/1980,0,82,62
USC00442208,"DALE ENTERPRISE, VA US",5/23/1980,0.2,74,59
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/23/1980,0,79,56
USC00447338,"ROCKY MOUNT, VA US",5/23/1980,0.05,78,52
USC00445213,"MANASSAS, VA US",5/23/1980,0,85,60
USC00444044,"HOLLAND 1 E, VA US",5/23/1980,0,81,63
USC00448829,"WALKERTON 2 NW, VA US",5/24/1980,0.01,82,66
USC00442208,"DALE ENTERPRISE, VA US",5/24/1980,0.12,77,57
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/24/1980,0.03,75,58
USC00447338,"ROCKY MOUNT, VA US",5/24/1980,0.43,80,60
USC00445213,"MANASSAS, VA US",5/24/1980,1.55,80,50
USC00444044,"HOLLAND 1 E, VA US",5/24/1980,0.34,82,61
USC00448829,"WALKERTON 2 NW, VA US",5/25/1980,1.17,80,63
USC00442208,"DALE ENTERPRISE, VA US",5/25/1980,0.24,75,57
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/25/1980,0.01,77,57
USC00447338,"ROCKY MOUNT, VA US",5/25/1980,0.12,75,60
USC00445213,"MANASSAS, VA US",5/25/1980,0,75,60
USC00444044,"HOLLAND 1 E, VA US",5/25/1980,0,84,63
USC00448829,"WALKERTON 2 NW, VA US",5/26/1980,0,76,57
USC00442208,"DALE ENTERPRISE, VA US",5/26/1980,0,72,49
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/26/1980,0.11,74,44
USC00447338,"ROCKY MOUNT, VA US",5/26/1980,0,74,60
USC00445213,"MANASSAS, VA US",5/26/1980,0,87,50
USC00444044,"HOLLAND 1 E, VA US",5/26/1980,0.5,81,61
USC00448829,"WALKERTON 2 NW, VA US",5/27/1980,0,75,50
USC00442208,"DALE ENTERPRISE, VA US",5/27/1980,0,76,44
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/27/1980,0,74,42
USC00447338,"ROCKY MOUNT, VA US",5/27/1980,0,74,45
USC00445213,"MANASSAS, VA US",5/27/1980,0,85,55
USC00444044,"HOLLAND 1 E, VA US",5/27/1980,0,79,48
USC00448829,"WALKERTON 2 NW, VA US",5/28/1980,0,83,52
USC00442208,"DALE ENTERPRISE, VA US",5/28/1980,0,80,48
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/28/1980,0,77,44
USC00447338,"ROCKY MOUNT, VA US",5/28/1980,0,79,46
USC00445213,"MANASSAS, VA US",5/28/1980,0,86,52
USC00444044,"HOLLAND 1 E, VA US",5/28/1980,0,75,52
USC00448829,"WALKERTON 2 NW, VA US",5/29/1980,0,89,56
USC00442208,"DALE ENTERPRISE, VA US",5/29/1980,0,84,58
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/29/1980,0,79,49
USC00447338,"ROCKY MOUNT, VA US",5/29/1980,0,82,49
USC00445213,"MANASSAS, VA US",5/29/1980,0,88,55
USC00444044,"HOLLAND 1 E, VA US",5/29/1980,0,83,59
USC00448829,"WALKERTON 2 NW, VA US",5/30/1980,0,86,62
USC00442208,"DALE ENTERPRISE, VA US",5/30/1980,0.16,84,59
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/30/1980,0,84,55
USC00447338,"ROCKY MOUNT, VA US",5/30/1980,0,85,54
USC00445213,"MANASSAS, VA US",5/30/1980,0,84,60
USC00444044,"HOLLAND 1 E, VA US",5/30/1980,0,89,65
USC00448829,"WALKERTON 2 NW, VA US",5/31/1980,0.49,85,66
USC00442208,"DALE ENTERPRISE, VA US",5/31/1980,0.03,78,63
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/31/1980,0.03,84,59
USC00447338,"ROCKY MOUNT, VA US",5/31/1980,0,83,60
USC00445213,"MANASSAS, VA US",5/31/1980,0,,
USC00444044,"HOLLAND 1 E, VA US",5/31/1980,0.04,82,58
USC00448829,"WALKERTON 2 NW, VA US",6/1/1980,0.17,87,65
USC00442208,"DALE ENTERPRISE, VA US",6/1/1980,0,85,62
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",6/1/1980,1.16,80,60
USC00447338,"ROCKY MOUNT, VA US",6/1/1980,0,84,59
USC00445213,"MANASSAS, VA US",6/1/1980,0.3,91,66
USC00444044,"HOLLAND 1 E, VA US",6/1/1980,0,87,60
USC00448829,"WALKERTON 2 NW, VA US",6/2/1980,0,87,71
USC00442208,"DALE ENTERPRISE, VA US",6/2/1980,0,83,66
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",6/2/1980,0.03,84,63
USC00447338,"ROCKY MOUNT, VA US",6/2/1980,0,80,62
USC00445213,"MANASSAS, VA US",6/2/1980,0,88,64
USC00444044,"HOLLAND 1 E, VA US",6/2/1980,0,88,67
USC00448829,"WALKERTON 2 NW, VA US",6/3/1980,0,89,69
USC00442208,"DALE ENTERPRISE, VA US",6/3/1980,0,87,70
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",6/3/1980,0,89,63
USC00447338,"ROCKY MOUNT, VA US",6/3/1980,0,86,65
USC00445213,"MANASSAS, VA US",6/3/1980,0,91,62
USC00444044,"HOLLAND 1 E, VA US",6/3/1980,0,88,70
USC00448829,"WALKERTON 2 NW, VA US",6/4/1980,0,86,67
USC00442208,"DALE ENTERPRISE, VA US",6/4/1980,0,73,57
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",6/4/1980,0,85,58
USC00447338,"ROCKY MOUNT, VA US",6/4/1980,0,84,65
USC00445213,"MANASSAS, VA US",6/4/1980,0.45,89,59
USC00444044,"HOLLAND 1 E, VA US",6/4/1980,0,93,70
USC00448829,"WALKERTON 2 NW, VA US",6/5/1980,0,79,55
USC00442208,"DALE ENTERPRISE, VA US",6/5/1980,0,78,49
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",6/5/1980,0,78,50
USC00447338,"ROCKY MOUNT, VA US",6/5/1980,0,83,49
USC00445213,"MANASSAS, VA US",6/5/1980,0,80,52
USC00444044,"HOLLAND 1 E, VA US",6/5/1980,0,80,56
USC00448829,"WALKERTON 2 NW, VA US",6/6/1980,0,78,52
USC00442208,"DALE ENTERPRISE, VA US",6/6/1980,0.31,77,53
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",6/6/1980,0,84,58
USC00447338,"ROCKY MOUNT, VA US",6/6/1980,0,80,49
USC00445213,"MANASSAS, VA US",6/6/1980,0,78,54
USC00444044,"HOLLAND 1 E, VA US",6/6/1980,0,80,54
USC00448829,"WALKERTON 2 NW, VA US",6/7/1980,0.04,90,65
USC00442208,"DALE ENTERPRISE, VA US",6/7/1980,0,88,62
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",6/7/1980,0.11,75,58
USC00447338,"ROCKY MOUNT, VA US",6/7/1980,0.83,77,54
USC00445213,"MANASSAS, VA US",6/7/1980,0.25,93,
USC00444044,"HOLLAND 1 E, VA US",6/7/1980,0,79,66
USC00448829,"WALKERTON 2 NW, VA US",6/8/1980,0,89,77
USC00442208,"DALE ENTERPRISE, VA US",6/8/1980,0.06,81,66
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",6/8/1980,0.02,87,72
USC00447338,"ROCKY MOUNT, VA US",6/8/1980,0,86,60
USC00445213,"MANASSAS, VA US",6/8/1980,0.17,90,58
